time_sec,x,y,z,w
1744113739.883257,-1.9995914343071568,-0.5000003361839157,0.007839437211705937,"[1.9409902047445928e-05, 0.003308319629314524, 0.00011296373554186106, 0.9999945209268302]"
1744113739.9191456,-1.9995902563885255,-0.500000309843274,0.007840006395587802,"[1.810238912529156e-05, 0.0033068635965013676, 0.00011336401872654392, 0.9999945257220447]"
1744113739.9544313,-1.9995890692122131,-0.5000002727046473,0.00781853144351681,"[1.6271219553609445e-05, 0.0033041323312589547, 0.00011376068940029647, 0.9999945347367107]"
1744113739.9908612,-1.9995878192879315,-0.5000002487434911,0.007823430132369524,"[1.5085355663419392e-05, 0.0033057900449879525, 0.00011415448017977283, 0.9999945292317179]"
1744113740.0264819,-1.9995865947146312,-0.5000002319794538,0.007838579847047807,"[1.4238643164524892e-05, 0.0033073470864747575, 0.00011454899582728358, 0.9999945240505262]"
1744113740.0629046,-1.9995854126273511,-0.5000002257100395,0.007845351763149868,"[1.3930415811436776e-05, 0.0033067032776843354, 0.00011494553214003579, 0.9999945261384692]"
1744113740.0982983,-1.9995842391028855,-0.5000002381615086,0.007839326545542593,"[1.4572255353997535e-05, 0.0033051266093618026, 0.00011534444500031395, 0.9999945312957489]"
1744113740.1349287,-1.9995829982957252,-0.5000002649077975,0.007821283385422964,"[1.5917866601312053e-05, 0.0033053492029447174, 0.0001157452123199231, 0.9999945304931993]"
1744113740.1697793,-1.999581745962991,-0.5000002349608615,0.007819053159740382,"[1.4439669421471872e-05, 0.003306747311381418, 0.00011614007010849617, 0.9999945258476163]"
1744113740.205828,-1.9995804851060341,-0.5000002092676198,0.00783531815953828,"[1.3149394897547817e-05, 0.0033101107417022216, 0.00011653377061111353, 0.9999945146918814]"
1744113740.2415178,-1.9995792679190691,-0.5000001958826531,0.007844829334826053,"[1.2482525186442019e-05, 0.0033112400457459275, 0.00011692918051226162, 0.9999945109154914]"
1744113740.2789264,-1.9995780895120208,-0.5000001894666818,0.00783722399391053,"[1.2182848517972862e-05, 0.0033098168923594144, 0.00011732634338788432, 0.9999945155840838]"
1744113740.3137593,-1.999576920382936,-0.5000001040334375,0.00783511575129841,"[7.931771486110213e-06, 0.0033076301691232924, 0.000117715146202876, 0.9999945228164482]"
1744113740.349601,-1.9995757174989375,-0.5000000232940819,0.007819172475135583,"[3.92681030479249e-06, 0.003305753044629086, 0.00011810106527591839, 0.9999945290017973]"
1744113740.384766,-1.999574487414274,-0.5000000170657936,0.007820245013173481,"[3.6223611482438467e-06, 0.0033063463700930057, 0.00011849216586192897, 0.9999945269951063]"
1744113740.422272,-1.9995732339329966,-0.5000000166505514,0.007835451642895725,"[3.5946618383253326e-06, 0.0033093300151198195, 0.00011888453726398282, 0.9999945170791671]"
1744113740.4587636,-1.9995720329029874,-0.5000000630407577,0.007836391559125456,"[5.917135715654772e-06, 0.0033089324487850322, 0.0001192848563116975, 0.9999945183360557]"
1744113740.4951873,-1.9995708433443773,-0.5000001203527801,0.00784491651665059,"[8.773108670777643e-06, 0.0033082986740460177, 0.00011968801535982925, 0.9999945203638342]"
1744113740.5336108,-1.999569669434738,-0.5000001818672611,0.007843272965336386,"[1.1856144212946314e-05, 0.0033071225221549903, 0.00012009361061076238, 0.9999945241737977]"
1744113740.5693674,-1.9995684913895846,-0.5000002414064533,0.007822583827895963,"[1.4851144492163676e-05, 0.0033043481861931533, 0.0001205009020745518, 0.9999945332560776]"
1744113740.6045842,-1.9995672432121379,-0.500000299635835,0.00781908125885222,"[1.7764755043331685e-05, 0.0033052803182970283, 0.00012090695791680581, 0.9999945300790092]"
1744113740.642121,-1.999566001332656,-0.50000034884175,0.007835320207596702,"[2.0209233428736514e-05, 0.003307720077306716, 0.00012131250395318727, 0.9999945219163722]"
1744113740.6805077,-1.999564788387656,-0.5000003874759269,0.007850011468651816,"[2.2128834402082014e-05, 0.0033090338323484994, 0.00012171803085327985, 0.999994517480037]"
1744113740.7169347,-1.9995635790614035,-0.5000003319133192,0.007842742483184654,"[1.9379777453578195e-05, 0.0033092597246180753, 0.0001221142840197444, 0.9999945167412674]"
1744113740.7557616,-1.9995623808191718,-0.5000001774456124,0.007817600498792427,"[1.1702352220690366e-05, 0.0033069244681906648, 0.00012249747224411754, 0.9999945245390027]"
1744113740.7927477,-1.9995611215752491,-0.5000000575653943,0.007823331167335322,"[5.734012032916199e-06, 0.003309000324084482, 0.00012287683100473598, 0.9999945176776025]"
1744113740.8322086,-1.9995598876180725,-0.4999999638379575,0.007838567212496693,"[1.0511779867423138e-06, 0.0033109778253090642, 0.00012325712959958352, 0.9999945111011438]"
1744113740.869784,-1.999558682318426,-0.4999999681642028,0.007849373044744949,"[1.2687206330035978e-06, 0.0033114419628480314, 0.0001236476527699239, 0.9999945095158148]"
1744113740.9071908,-1.9995575059892214,-0.5000000430912025,0.00783722816456102,"[5.035159733664663e-06, 0.003309818732656398, 0.00012404940445432847, 0.9999945148281311]"
1744113740.9424844,-1.999556339150134,-0.5000001361321466,0.007832750307391063,"[9.687394831128774e-06, 0.00330726836226201, 0.00012445734793893278, 0.9999945231812538]"
1744113740.9784853,-1.9995551852767355,-0.5000002094670484,0.007831954704005616,"[1.3345231899930133e-05, 0.0033041916457951944, 0.00012486607782994727, 0.9999945332590252]"
1744113741.014218,-1.9995539940629008,-0.5000002099669447,0.007818399714540288,"[1.339149776252205e-05, 0.0033021433069899218, 0.00012526675272832177, 0.9999945399743383]"
1744113741.0520172,-1.9995527583142938,-0.5000001935501713,0.007820045973676668,"[1.2570301114295079e-05, 0.00330327439943544, 0.0001256635762660273, 0.9999945361995212]"
1744113741.086355,-1.9995515272586404,-0.5000001267062583,0.007820511866330742,"[9.2550266263257e-06, 0.0033042598886642493, 0.00012605324884900127, 0.9999945329308112]"
1744113741.1230736,-1.999550242728089,-0.5000000940880666,0.007835851120944676,"[7.620786866984921e-06, 0.0033088463429291454, 0.00012644331082915986, 0.9999945177299182]"
1744113741.1632714,-1.9995490021607525,-0.5000000764630783,0.007844857517820004,"[6.745040302651463e-06, 0.003311130990588455, 0.00012683606940247082, 0.9999945101242701]"
1744113741.2005785,-1.999547797126839,-0.5000000715924653,0.00783980998645742,"[6.522062447451749e-06, 0.0033112554079732424, 0.00012723146452725743, 0.9999945096635484]"
1744113741.2400477,-1.9995465660050453,-0.5000000778315992,0.007818418737286996,"[6.855311438237431e-06, 0.0033106677060138205, 0.0001276286343274641, 0.999994511556577]"
1744113741.2774053,-1.9995453801203347,-0.5000000714351513,0.00781700561807419,"[6.540793647120836e-06, 0.003308855151233448, 0.00012802516960617015, 0.9999945175071522]"
1744113741.3152924,-1.9995442226255766,-0.5000000726285361,0.007817357874754557,"[6.613674370923817e-06, 0.003305824337805834, 0.00012842207738854536, 0.9999945274797643]"
1744113741.3521898,-1.9995429990715998,-0.5000000983992547,0.007832163494679644,"[7.897241389787244e-06, 0.0033071846618638193, 0.00012881963564431983, 0.9999945229213746]"
1744113741.388741,-1.9995418184501224,-0.5000001499100123,0.007838034324738707,"[1.0472081575431132e-05, 0.003306160414190618, 0.00012922203560486022, 0.9999945262326773]"
1744113741.4249628,-1.9995406316041675,-0.5000002323384327,0.007846042374079739,"[1.4583432165362355e-05, 0.0033057985840189742, 0.00012962938997625477, 0.9999945273246582]"
1744113741.460697,-1.9995394722662687,-0.5000003081394392,0.007835043362320122,"[1.8387951606191584e-05, 0.003303313901183734, 0.00013003912890579463, 0.9999945354195584]"
1744113741.497929,-1.9995382183726784,-0.5000003015684515,0.00782142628239534,"[1.807040130915865e-05, 0.003304404443041241, 0.00013044005630116965, 0.9999945317701139]"
1744113741.5333374,-1.9995369596740913,-0.5000002184704002,0.007819333625214033,"[1.39439119949206e-05, 0.00330614163481834, 0.00013083045451384094, 0.9999945260432429]"
1744113741.5697403,-1.999535692474202,-0.5000001488650125,0.007835338505686403,"[1.0466732248836659e-05, 0.003309820157631193, 0.00013121835790573313, 0.9999945138663083]"
1744113741.6079679,-1.9995344689148253,-0.5000000998214426,0.00784482517776726,"[8.023971400718506e-06, 0.0033112537965116423, 0.00013160774053285948, 0.9999945090915817]"
1744113741.644635,-1.9995332805397994,-0.500000068538,0.007839819905940225,"[6.484513341891276e-06, 0.0033105486690645533, 0.00013199939333555455, 0.999994511385748]"
1744113741.6808667,-1.9995320657098308,-0.5000000528872351,0.007818429376774084,"[5.726915500045345e-06, 0.00330914572040037, 0.0001323929219145391, 0.9999945159819217]"
1744113741.719498,-1.9995307886861946,-0.5000000495752233,0.007823407048985728,"[5.5726521383698856e-06, 0.003312114749100972, 0.00013278603591461384, 0.99999450610126]"
1744113741.7536373,-1.9995295913405657,-0.500000080912266,0.007839569301069287,"[7.127034634318411e-06, 0.0033121909700016636, 0.0001331851690832427, 0.999994505785854]"
1744113741.793006,-1.9995284355386131,-0.500000129479246,0.007845179796019947,"[9.557541261141828e-06, 0.0033101863750577476, 0.00013358796928689075, 0.999994512349478]"
1744113741.8313901,-1.9995272996253934,-0.500000191731806,0.007831521418835741,"[1.2691423843145242e-05, 0.003306182439185125, 0.00013399412167572073, 0.999994525506106]"
1744113741.8683138,-1.9995261060445544,-0.5000002113406834,0.007826531139898577,"[1.3670930984403785e-05, 0.0033048512287542917, 0.00013439617460984747, 0.9999945298396035]"
1744113741.9049911,-1.9995248944392228,-0.5000001511028582,0.007816654889104293,"[1.0681224011720979e-05, 0.003303767685436534, 0.00013478859764511436, 0.9999945334035714]"
1744113741.9428968,-1.9995236717337863,-0.5000001337867689,0.007824265143128523,"[9.83157212691826e-06, 0.003304669702800713, 0.0001351820715464629, 0.9999945303786932]"
1744113741.9784596,-1.9995224250805468,-0.5000001508485723,0.007839107945437273,"[1.067275939067357e-05, 0.0033073682775421106, 0.00013557872570086664, 0.9999945213947815]"
1744113742.0166805,-1.9995212213695954,-0.5000001735315873,0.007845383305822585,"[1.181176008547567e-05, 0.0033078041063927333, 0.00013597833010942285, 0.999994519886169]"
1744113742.0551267,-1.9995200449402741,-0.5000002006868086,0.007834966846793611,"[1.3190413576832795e-05, 0.0033061421497796724, 0.00013638021257858756, 0.9999945253102819]"
1744113742.0903685,-1.9995188202878238,-0.5000002320530602,0.007816192846970643,"[1.4766810817838211e-05, 0.0033051091805798368, 0.0001367827540503025, 0.9999945286478942]"
